PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PitchUID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ
35,10/13/2021,1:41:44 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Fastball,Live,,86.15639,-0.37563,4.62658,2037.54294,103.23094,9:30,3.78506,-3.05585,4.39262,-35.59445,4.43258,-18.99464,0.45913,-0.21289,78.48774,-6.87501,1.15038,0.45535,11.04304,2.37594,2.57974,50,3.71092,-9.34709,-124.69763,-2.21451,17.34445,25.65841,-28.44234,449d8265-ed92-46a0-9ec3-6183a1fdeb8f,e0c025a7-04ef-4d50-b7e8-71219c8b771c,82.77633,Pitch,21380013,,,,,,,,,,,,,,,,,,
36,10/13/2021,1:42:05 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Fastball,Live,,86.6782,,,1971.1788,,,3.85675,-3.22645,4.49492,,,,1.55057,1.8458,78.51696,,,0.45427,17.47827,0.97423,2.42365,50,3.9118,-16.09347,-124.70323,0.41453,27.49623,25.30306,-30.64142,5f4cb962-0974-4201-b89f-c0ab584ff14d,e0c025a7-04ef-4d50-b7e8-71219c8b771c,82.97456,Pitch,21380013,,,,,,,,,,,,,,,,,,
37,10/13/2021,1:42:37 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,ChangeUp,Live,,81.44028,-0.88554,4.76336,1648.99044,106.1513,9:30,3.63841,-3.33144,4.67417,,,,,,,,,,10.34152,2.84527,2.86152,50,3.51363,-9.19786,-117.9635,-3.22989,14.63971,21.46359,-28.14621,c3b62a49-3f59-462d-91a2-bf9cb6097177,e0c025a7-04ef-4d50-b7e8-71219c8b771c,,Pitch,21380013,,,,,,,,,,,,,,,,,,
38,10/13/2021,1:42:57 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Fastball,Live,,86.68552,-0.41738,3.77762,1973.53494,109.86651,9:45,3.81412,-3.0678,4.25043,-32.75945,6.75054,-18.77353,0.68385,-1.01177,79.27521,-6.37609,0.35363,0.4524,10.58023,3.54767,2.67389,50,3.7358,-7.53764,-125.6213,-2.23777,16.9385,25.00038,-26.49438,802c7b7a-0c94-45fd-a9cf-d1310e2a51a4,e0c025a7-04ef-4d50-b7e8-71219c8b771c,83.31618,Pitch,21380013,,,,,,,,,,,,,,,,,,
39,10/13/2021,1:43:27 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Slider,Live,,76.99045,1.11665,2.42253,2180.45128,237.97979,2:00,3.76224,-3.6329,3.64994,-40.32707,10.98088,17.62765,1.4831,0.18125,70.45529,-6.13432,5.5993,0.51554,-8.10315,5.15908,3.32249,50,3.84872,-5.3942,-111.54778,0.63192,-10.1886,20.45315,-25.68721,e44dd93a-dc28-4f18-b470-e4949ebcc93a,e0c025a7-04ef-4d50-b7e8-71219c8b771c,73.11231,Pitch,21380013,,,,,,,,,,,,,,,,,,
40,10/13/2021,1:43:48 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Slider,Live,,78.37874,0.2865,3.9137,2317.88202,240.31721,2:00,3.6935,-3.71282,3.75462,-42.30979,7.44139,13.128,0.445,1.16641,71.43501,-7.33311,6.28525,0.50766,-5.39252,3.64446,3.23649,50,3.67943,-8.25744,-113.35777,-1.05053,-6.95409,22.4484,-27.47422,0fc325ba-c047-4696-8cea-0805d30ef91c,e0c025a7-04ef-4d50-b7e8-71219c8b771c,74.24738,Pitch,21380013,,,,,,,,,,,,,,,,,,
41,10/13/2021,1:44:11 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Fastball,Live,,85.28984,0.27316,3.72529,1906.03418,103.96736,9:30,3.80569,-3.64148,4.31478,-36.17458,4.47346,-18.12206,1.05281,-1.58566,78.1237,-6.31075,0.41903,0.45887,10.23402,2.20621,3.25654,50,3.79975,-7.33598,-123.63863,-0.83488,15.89669,23.84537,-28.74711,07e007b6-3c71-42c2-92ff-36707f2d234f,e0c025a7-04ef-4d50-b7e8-71219c8b771c,82.14158,Pitch,21380013,,,,,,,,,,,,,,,,,,
42,10/13/2021,1:44:36 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Fastball,Live,,85.90773,0.25819,4.21686,1878.65117,95.71362,9:15,3.77628,-3.48626,4.15957,-38.77383,1.61103,-16.43846,0.7933,-0.80654,78.64221,-6.77725,1.22714,0.45738,9.47682,0.74665,3.03561,50,3.76522,-8.50953,-124.41973,-1.00422,14.89304,24.36888,-31.00067,7bd6c499-0e63-44db-866c-6c312eca42ea,e0c025a7-04ef-4d50-b7e8-71219c8b771c,82.4088,Pitch,21380013,,,,,,,,,,,,,,,,,,
43,10/13/2021,1:45:04 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Slider,Live,,77.03908,1.49638,2.32096,2121.84623,243.70356,2:00,3.8275,-3.66882,3.86705,-43.7423,6.86936,13.98663,1.62589,-0.26532,70.79302,-6.38686,4.84767,0.51203,-6.39111,3.04233,3.38447,50,3.95239,-5.05254,-111.70054,1.2776,-8.09638,19.61442,-28.31997,fab17b5e-a147-4a21-be49-2577d9c08ef5,e0c025a7-04ef-4d50-b7e8-71219c8b771c,73.61351,Pitch,21380013,,,,,,,,,,,,,,,,,,
44,10/13/2021,1:45:29 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Fastball,Live,,85.42324,0.18351,4.07389,2025.61928,108.74194,9:30,3.86047,-3.6041,4.39919,-34.61206,5.6841,-16.85164,1.15172,-1.11365,78.46544,-6.11488,1.00212,0.45688,9.65721,2.85485,3.18576,50,3.84683,-8.16014,-123.83654,-0.95763,15.10118,23.11288,-27.70986,523023fd-e57a-49f1-9489-7ed732db1468,e0c025a7-04ef-4d50-b7e8-71219c8b771c,82.49945,Pitch,21380013,,,,,,,,,,,,,,,,,,
45,10/13/2021,1:45:53 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Slider,Live,,78.70747,0.69567,3.27791,,,,3.79239,-3.54334,3.67874,-38.70497,10.66531,16.79866,1.24082,1.02972,71.68494,-6.27551,6.3096,0.50571,-7.41236,5.12334,3.13326,50,3.83064,-7.17527,-113.90204,-0.11644,-9.66035,22.474,-25.49693,7f000a3e-1047-41c6-9ca7-4993d326ce1b,e0c025a7-04ef-4d50-b7e8-71219c8b771c,74.53325,Pitch,21380013,,,,,,,,,,,,,,,,,,
46,10/13/2021,1:46:13 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Slider,Live,,76.80815,0.35905,1.55982,2322.68625,247.82419,2:15,3.72533,-3.67767,3.67023,-43.69677,7.78356,19.20131,0.43132,-0.56863,70.41678,-7.49044,5.02822,0.51641,-9.13837,3.78262,3.46937,50,3.71735,-3.76418,-111.35527,-0.96752,-11.44115,20.53692,-27.43824,70849838-9047-4923-80e2-7b6d0575853b,e0c025a7-04ef-4d50-b7e8-71219c8b771c,72.9898,Pitch,21380013,,,,,,,,,,,,,,,,,,
47,10/13/2021,1:47:12 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Slider,Live,,78.56663,0.40972,4.40544,2215.97395,247.35472,2:15,3.77147,-3.5617,3.89756,-42.79448,6.61131,15.94603,0.60106,2.01872,71.57613,-7.31036,7.28885,0.50589,-6.6724,3.20634,3.03569,50,3.77226,-9.34917,-113.56162,-0.79638,-8.61723,22.93768,-28.03314,7aebf2d4-f421-4896-b972-66c6d1915d04,e0c025a7-04ef-4d50-b7e8-71219c8b771c,74.50645,Pitch,21380013,,,,,,,,,,,,,,,,,,
48,10/13/2021,1:47:31 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Fastball,Live,,85.00997,0.45174,5.72883,1961.59585,93.06718,9:00,3.72142,-3.42614,4.17222,-40.53694,0.93656,-18.12415,0.77846,0.57228,77.59821,-6.90447,2.43868,0.46351,10.77748,0.35028,2.8098,50,3.73024,-11.60059,-122.81894,-0.63887,16.47824,24.10247,-31.63848,3ab3fd19-7c9b-416d-96ec-a3fd8f3d68af,e0c025a7-04ef-4d50-b7e8-71219c8b771c,81.32003,Pitch,21380013,,,,,,,,,,,,,,,,,,
49,10/13/2021,1:48:05 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Slider,Live,,76.94782,0.84325,1.47744,2176.07816,261.7036,2:45,3.67256,-3.70416,3.66113,-49.06048,2.12283,14.85044,0.40019,-1.03718,70.72598,-7.96354,4.15838,0.51492,-6.99392,0.82385,3.51043,50,3.71596,-3.44694,-111.58208,-0.23697,-8.8168,20.09343,-31.13547,26afa13f-0f10-43df-8b0d-e0ac2d97478e,e0c025a7-04ef-4d50-b7e8-71219c8b771c,73.20127,Pitch,21380013,,,,,,,,,,,,,,,,,,
50,10/13/2021,1:48:24 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Fastball,Live,,86.05787,-0.15701,5.84124,2090.11526,114.10547,9:45,3.82247,-3.3296,4.22624,-31.71488,8.18688,-18.37174,1.02845,0.75149,79.42217,-5.88586,2.52643,0.45464,10.69065,4.18385,2.70643,50,3.77298,-11.99137,-124.48013,-1.62618,17.01964,21.56264,-25.51331,a1494353-8cda-4207-9df1-c1e597572634,e0c025a7-04ef-4d50-b7e8-71219c8b771c,82.90616,Pitch,21380013,,,,,,,,,,,,,,,,,,
51,10/13/2021,1:48:47 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,ChangeUp,Live,,81.10449,-0.46213,3.14377,1706.62842,114.59809,9:45,3.53207,-3.4956,4.28961,-36.61307,8.32852,-18.27459,0.03835,-2.00898,74.45198,-7.11351,-0.19098,0.4825,10.14719,4.36426,3.17256,50,3.44572,-5.7737,-117.63605,-2.32743,14.26852,21.58603,-26.03722,4dc16e15-49f4-491e-9d26-f63ea46be09b,e0c025a7-04ef-4d50-b7e8-71219c8b771c,78.11935,Pitch,21380013,,,,,,,,,,,,,,,,,,
52,10/13/2021,1:49:08 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Fastball,Live,,85.46154,1.2007,3.83261,2073.85832,105.94297,9:30,3.74232,-3.43336,4.1403,-35.7457,4.84236,-17.06953,1.91766,-1.1751,78.4833,-5.27629,0.73663,0.45853,9.60502,2.14444,3.02498,50,3.83892,-7.60706,-123.87391,1.15415,15.05394,22.73372,-28.81307,cd8273f5-9484-4664-bf08-89d0378dddda,e0c025a7-04ef-4d50-b7e8-71219c8b771c,82.20225,Pitch,21380013,,,,,,,,,,,,,,,,,,
53,10/13/2021,1:49:28 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Slider,Live,,78.47395,0.04569,2.53525,2221.69691,233.73393,1:45,3.69747,-3.58556,3.61635,-39.89434,9.32324,12.76373,0.41722,-0.06599,72.20736,-7.09716,4.83054,0.50493,-5.66475,4.62572,3.26566,50,3.65573,-5.53914,-113.7589,-1.47884,-7.44382,20.32556,-26.09557,bafb0945-31b6-436c-a6a9-1fa99f3eb3b1,e0c025a7-04ef-4d50-b7e8-71219c8b771c,74.64878,Pitch,21380013,,,,,,,,,,,,,,,,,,
54,10/13/2021,1:50:59 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Fastball,Live,,85.456,,,1903.64658,,,3.79403,-3.42258,4.16634,,,,0.19601,-1.20746,77.16195,,,0.46269,8.62457,3.84298,3.04053,50,3.67375,-7.16668,-123.67264,-3.0317,13.18674,27.60663,-26.29823,2b687f64-5cb3-42f2-a25c-9b657a3d5086,e0c025a7-04ef-4d50-b7e8-71219c8b771c,81.46451,Pitch,21380013,,,,,,,,,,,,,,,,,,
55,10/13/2021,1:51:17 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Fastball,Live,,84.29212,,,1882.83349,,,3.83794,-3.46651,4.30319,,,,2.55991,-0.50682,76.74619,,,0.46566,10.26295,1.91585,2.98273,50,4.00649,-9.1769,-121.96046,2.59316,15.47714,23.7059,-29.28484,6a12fc5f-a33f-44fd-9de1-59559a3714c1,e0c025a7-04ef-4d50-b7e8-71219c8b771c,80.944,Pitch,21380013,,,,,,,,,,,,,,,,,,
56,10/13/2021,1:51:38 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,ChangeUp,Live,,80.47213,,,1615.04363,,,3.5567,-3.63518,4.24271,,,,0.68977,-1.9651,73.50241,,,0.48769,7.70709,2.59528,3.32951,50,3.57445,-5.44583,-116.68177,-0.43041,10.61145,22.21917,-28.60075,dbbd6cf4-05a1-4934-95dd-36a93118c1b2,e0c025a7-04ef-4d50-b7e8-71219c8b771c,77.28734,Pitch,21380013,,,,,,,,,,,,,,,,,,
57,10/13/2021,1:52:01 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Slider,Live,,78.59295,,,2226.90193,,,3.60691,-3.75283,3.62606,,,,1.03608,0.53725,70.21103,,,0.51154,-7.72973,4.55093,3.38167,50,3.663,-6.4677,-113.53285,0.13912,-9.80833,26.17226,-26.39933,18439cba-2bc3-4b35-9e8c-f3d72f39e834,e0c025a7-04ef-4d50-b7e8-71219c8b771c,73.68431,Pitch,21380013,,,,,,,,,,,,,,,,,,
58,10/13/2021,1:52:19 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Fastball,Live,,85.49268,,,1757.2728,,,3.75466,-3.3896,4.10297,,,,1.21192,0.51442,77.34103,,,0.46328,10.43169,-0.55134,2.7858,50,3.82212,-11.30222,-123.424,0.4577,15.96549,26.35988,-33.01786,5cba9c26-ed7f-4012-98d8-f68e3dd8665f,e0c025a7-04ef-4d50-b7e8-71219c8b771c,81.36026,Pitch,21380013,,,,,,,,,,,,,,,,,,
59,10/13/2021,1:59:06 PM,"Rapp, Shawn",1000074312,Left,NOR_TAR2,,Undefined,Live,,88.03522,,,1805.21579,,,4.23451,-1.80556,4.49701,,,,3.39759,-1.58535,79.67967,,,0.44422,6.76316,8.52152,1.67917,50,4.3153,-2.44399,-127.76445,1.3033,11.10993,27.84561,-18.17563,16ae5345-66a1-4037-9d88-8857522760f8,6ca0cf44-17ff-4d75-84e1-cc53aca4359c,84.85089,Pitch,21380013,,,,,,,,,,,,,,,,,,
60,10/13/2021,2:00:16 PM,"James, Nick",1000074309,Left,NOR_TAR2,,Fastball,Live,,86.58258,-0.19209,2.2102,1745.93128,135.18029,10:30,4.21441,-1.99036,4.53772,-23.72506,15.59132,-15.52612,2.05432,-1.17905,78.55191,-4.55386,-0.64949,0.45129,8.64067,8.08215,1.77441,50,4.17276,-4.24867,-125.63109,-1.33831,13.73647,26.71038,-19.32548,a446a4ca-b5c6-4ab9-bfc4-08adb629af6c,6ca0cf44-17ff-4d75-84e1-cc53aca4359c,83.52107,Pitch,21380013,,,,,,,,,,,,,,,,,,
61,10/13/2021,2:00:31 PM,"James, Nick",1000074309,Left,NOR_TAR2,,Fastball,Live,,86.66966,-1.88742,2.63569,1737.39196,157.47797,11:15,4.12412,-1.7667,4.45087,-16.46841,22.8243,-9.47804,0.94952,-0.04158,78.89588,-4.90132,0.89719,0.45116,5.60233,12.2338,1.49713,50,3.9091,-5.41367,-125.67665,-4.79176,8.94813,25.79021,-12.63405,8fe16704-5a4f-4c64-9e9a-1c9d40843fdc,6ca0cf44-17ff-4d75-84e1-cc53aca4359c,83.54623,Pitch,21380013,,,,,,,,,,,,,,,,,,
62,10/13/2021,2:00:49 PM,"James, Nick",1000074309,Left,NOR_TAR2,,Fastball,Live,,86.92345,-0.38394,2.39606,1639.40247,131.81601,10:30,4.12393,-1.68761,4.52444,-23.8962,15.14021,-16.96031,1.76665,-0.81803,78.88138,-4.77464,-0.7267,0.44968,9.42856,7.90233,1.45311,50,4.06196,-4.61763,-126.10543,-1.77439,15.10392,26.88882,-19.51505,65950614-d185-4de4-9119-2ba6c06e743c,6ca0cf44-17ff-4d75-84e1-cc53aca4359c,83.82004,Pitch,21380013,,,,,,,,,,,,,,,,,,
63,10/13/2021,2:01:07 PM,"James, Nick",1000074309,Left,NOR_TAR2,,Slider,Live,,79.68928,-1.49388,2.28323,1916.95956,181.58377,12:00,4.07399,-1.91577,4.83135,-30.49249,15.00472,0.4159,0.11699,0.28197,73.40934,-7.07152,2.35974,0.48547,0.38592,8.17644,1.68941,50,3.9004,-4.62909,-115.74168,-4.07236,0.52617,20.57314,-21.02628,6e76efa9-0cbb-46e3-8775-3ed47ea05346,6ca0cf44-17ff-4d75-84e1-cc53aca4359c,77.64088,Pitch,21380013,,,,,,,,,,,,,,,,,,
64,10/13/2021,2:02:43 PM,"James, Nick",1000074309,Left,NOR_TAR2,,Fastball,Live,,85.67324,-0.42161,2.84483,1781.00765,136.43245,10:30,4.24087,-1.75077,4.65448,-24.21568,15.6911,-14.95719,1.82188,-0.2925,77.95939,-4.87459,0.08975,0.45467,8.53465,8.22381,1.4735,50,4.17642,-5.61263,-124.30476,-1.82957,13.32337,25.44509,-19.33594,466ba21a-6854-4a2a-889c-bd46d8f47883,df50127f-598b-4af6-a241-2001d2954f9c,82.90095,Pitch,21380013,,,,,,,,,,,,,,,,,,
65,10/13/2021,2:03:02 PM,"James, Nick",1000074309,Left,NOR_TAR2,,Slider,Live,,77.56124,-0.61522,1.91782,1931.2156,190.94151,12:15,4.16549,-1.8531,4.74547,-36.94202,11.60221,2.25076,0.50318,0.15395,70.8964,-7.39593,2.33324,0.50146,-0.61024,6.19274,1.65848,50,4.072,-3.84643,-112.60534,-2.4551,-0.78025,21.24853,-24.25607,b88b3da5-d837-4e8c-8278-1f251547c3ea,df50127f-598b-4af6-a241-2001d2954f9c,75.16472,Pitch,21380013,,,,,,,,,,,,,,,,,,
66,10/13/2021,2:03:19 PM,"James, Nick",1000074309,Left,NOR_TAR2,,Slider,Live,,78.90281,-0.63679,2.12763,1869.86924,194.00115,12:30,4.12178,-1.85797,4.69898,-37.20816,9.13,2.28618,0.41622,0.35299,73.20632,-7.40637,2.54585,0.48994,-0.65658,4.86176,1.64044,50,4.02448,-4.34061,-114.68403,-2.57692,-0.88453,18.91832,-25.62439,dd14d447-1ae5-4268-af10-32d17b788f0e,df50127f-598b-4af6-a241-2001d2954f9c,76.93314,Pitch,21380013,,,,,,,,,,,,,,,,,,
67,10/13/2021,2:04:48 PM,"James, Nick",1000074309,Left,NOR_TAR2,,Fastball,Live,,86.5008,-1.39873,2.33132,1648.56493,150.49659,11:00,4.19582,-1.88611,4.68031,-20.81734,18.11199,-10.26709,1.13157,-0.52686,79.12747,-5.21595,0.44345,0.44907,5.93243,9.73004,1.65821,50,4.0353,-4.72107,-125.57885,-3.86255,9.49681,24.84143,-16.59791,8c6fd913-3aa0-4f13-a22f-0867f804af6e,df50127f-598b-4af6-a241-2001d2954f9c,83.93524,Pitch,21380013,,,,,,,,,,,,,,,,,,
68,10/13/2021,2:05:04 PM,"James, Nick",1000074309,Left,NOR_TAR2,,Fastball,Live,,87.21513,-0.61794,1.84819,1536.46226,152.85846,11:00,4.2082,-1.79263,4.57776,-19.99696,18.38315,-9.44039,1.95361,-0.82053,79.75043,-4.28195,0.11548,0.44589,5.35286,9.62142,1.6101,50,4.12614,-3.7192,-126.67228,-2.14708,8.72448,25.12063,-16.49237,08d41000-7752-4a57-afb5-5c712d1ca973,df50127f-598b-4af6-a241-2001d2954f9c,84.53368,Pitch,21380013,,,,,,,,,,,,,,,,,,
69,10/13/2021,2:05:19 PM,"James, Nick",1000074309,Left,NOR_TAR2,,Slider,Live,,79.22376,-1.1131,2.85458,1874.90857,191.18539,12:15,4.15421,-1.97169,4.76152,-36.10913,10.51135,2.08619,0.08835,0.91082,72.39759,-7.73424,3.23939,0.49143,-0.24483,5.78006,1.68377,50,4.0118,-5.80173,-114.91827,-3.474,-0.32567,22.34242,-24.48524,10b313d9-c855-4409-af4a-400a7d0a48f1,df50127f-598b-4af6-a241-2001d2954f9c,76.69984,Pitch,21380013,,,,,,,,,,,,,,,,,,
70,10/13/2021,2:05:38 PM,"James, Nick",1000074309,Left,NOR_TAR2,,Slider,Live,,79.57596,-0.74562,1.71733,1895.39041,188.15771,12:15,4.15575,-2.07426,4.81126,-31.31594,14.14333,2.03284,0.83947,-0.27767,73.49161,-6.47173,2.09067,0.48527,-0.61782,7.51263,1.90198,50,4.05511,-3.53872,-115.67814,-2.59155,-0.84442,19.82312,-21.90593,3097886d-37d8-42de-876d-6344b7795533,df50127f-598b-4af6-a241-2001d2954f9c,77.67328,Pitch,21380013,,,,,,,,,,,,,,,,,,
71,10/13/2021,2:06:21 PM,"James, Nick",1000074309,Left,NOR_TAR2,,Fastball,Live,,88.44853,-0.85149,2.83432,1830.29348,140.81749,10:45,4.17696,-1.70818,4.72646,-21.26612,15.93196,-13.011,1.59592,-0.1013,80.80853,-4.75847,0.44013,0.43897,7.50073,8.47157,1.43361,50,4.07261,-5.85231,-128.38417,-2.73387,12.54446,26.07103,-18.00594,4b51b52d-01cd-4db6-a483-9033b291e766,df50127f-598b-4af6-a241-2001d2954f9c,85.86627,Pitch,21380013,,,,,,,,,,,,,,,,,,
